company,country,city,postcode,hall,stand,segment,description,id
5M s.r.o.,Czechia,Kunovice,686 04,Hall 3.1,315,Interiors,"5M is the specialist in production of lightweight materials such as sandwich panels and composite profiles.

Company 5M operates in the area of the development and manufacture of composite and sandwich materials, such as sandwich panel construction from aluminium or composites, pultruded compos...",1000138
A&R TECH GmbH,Austria,Wien,1210,Hall 27; Hall 7.1a,248; 271,Railway Technology; World Innovations; AI; Public Transport; AI Mobility Lab,"A&R TECH GmbH develops & manufactures safety-critical and highly complex control & visualization electronics for the railway industry.

Our focus is clearly on researching, developing, and producing high-quality and innovative products in Vienna for our globally active customers.",1000181
A+S Consult GmbH,Germany,Dresden,01277,Hall 7.2b,100,Railway Technology,"A+S Consult GmbH is a mid-sized company with more than 80 employees. We are active both throughout Germany and internationally. Headquartered in Dresden, we also maintain a southern office in Elchingen/Ulm (Bavaria). Additionally, large projects are handled on-site by offices in Kiew, Tbilisi, Ba...",1000227
A. Rawie GmbH & Co. KG,Germany,Rieste,49597,Hall 26,990,Railway Infrastructure,"Rail transport is one of the most important and most reliable means of transport. Every day, railway vehicles all over the world travel millions of miles, transport millions of passengers and move millions of tonnes of valuable cargo. Consequently, safety is of paramount importance. Whether main ...",1000192
A.M.R.A. S.p.A.,Italy,MILANO,20122,Hall 11.1,430,Railway Technology,"Since 1975, AMRA has designed and manufactured high-reliability electromechanical relays for railway and energy applications. As the Relay Competence Center of the CHAUVIN ARNOUX Group, AMRA delivers certified, long-life solutions for the most demanding safety-critical systems.",1002239
A.S.E.A. MOUMTZIS S.A.,Greece,Gerakas,15344,Hall 9,610,Railway Technology,,1000217
A.S.T. Angewandte System Technik GmbH,Germany,Wolnzach,85283,Hall 20,350,Railway Technology,"A.S.T. Group consists of several medium-sized companies. They are specialized in developing and manufacturing energy saving, environmental protection systems; various kind of measurement systems and control technology; power electronics for railway and other industries.
In more than 35 years thes...",1000220
AAC Controls,United States of America,"Farmingdale, NY",11735,Hall 11.1,440,Railway Technology,High Performance Sensors and Shunts for Harsh Environments,1219545
Aareplast AG,Switzerland,Rickenbach,4613,Hall 8.1,110,Railway Technology,"Aareplast AG – Swiss Expertise in High-Performance Plastic Components for the Railway Industry

Aareplast AG is a Swiss manufacturer of high-performance plastic components and assemblies for the international railway industry. We develop and manufacture precision-engineered parts from both thermoset",1220604
Aarsleff Rail A/S,Denmark,Viby J.,8260,Hall 11.2,210,Railway Infrastructure,"We connect Scandinavia
Aarsleff Rail is the rail contractor that connects Scandinavia. When we build, renew, maintain, and operate rail infrastructure across Denmark, Norway, and Sweden. We do more than lay tracks – we help ensure that our societies remain connected in the future.",1000259
AB Connectors,United Kingdom,ABERCYNON,CF454SF,Hall 12,410,Railway Technology,AB Connectors supplies high-reliability connector solutions to some of the largest transportation systems in the world and has built strong partnership based on innovation and engineering expertise.,1000267
Ab Ovo,Netherlands,Capelle aan den IJssel,2908 ME,Hall 7.1b,245,Railway Technology,,1226102
ABB Ltd.,Switzerland,Oerlikon,8050,Hall 9,320,Railway Technology,"ABB makes transport smarter and greener through innovative products, solutions and services. By providing leading-edge technologies, turnkey systems and superior service, ABB can help train builders, railway operators and network managers to deliver energy-efficient and cost-effective innovations.",1000297
ABB`s PMA Cable Protection,Switzerland,Uster,8610,Hall 15.1,270,Railway Infrastructure; World Innovations,"PMA has stood for high-quality cable protection systems “Made in Switzerland” since 1975. With over 6,500 products, PMA is a global market leader, delivering reliable cable protection solutions specifically for the railway industry worldwide.",1227061
Abet Laminati S.p.a.,Italy,Bra,12042,Hall 3.1,200,Railway Infrastructure,"Founded in 1957 in Bra (Italy), Abet Laminati was among the first companies in Europe to introduce decorative laminate to the worlds of architecture and interior design, playing a decisive role in its widespread adoption as an expressive and high-performance material.",1000350
ABL Technic Bogensberger GmbH,Austria,Sankt Marien,4502,Hall 6.2,130,Railway Technology,"Our company has a certified QM system according to ISO 9001:2015 and ISO 3834-3 for certified welding companies. The process parts and painting aids we manufacture are precisely tailored to your components and your painting systems, ensuring an optimal result.",1220485
Abtus Limited,United Kingdom,Haverhill,CB9 7XU,Hall 22,110,Railway Infrastructure,"Abtus Limited



Based in the UK, Abtus Limited have been designing and manufacturing electro/mechanical engineering solutions for the International Rail and Defence Markets since 1908.



Drawing on over 100 years of engineering excellence, Abtus continues to supply inventive and technic...",1000396
Abysalto d.o.o.,Croatia,Zagreb,10010,Hall 7.1c,540,Mobility+; Public Transport,"Abysalto develops digital solutions for mobility, public transport and critical communication systems. Working with transport operators, governments and telecoms, we help modernize infrastructure, improve passenger services and support reliable, future-ready mobility systems.",1225465
ABZ Innovation Ltd.,Hungary,Szentendre,2000,Hall 11.2,200,Railway Technology,"ABZ Innovation develops and manufactures heavy-duty action drones aimed at enhancing efficiency and performance in agriculture, construction, logistics, and various industrial operations.",1000407
Acal BFi Germany GmbH,Germany,Gröbenzell,82194,Hall 17,130,Railway Technology,"Acal BFi presents advanced Power Solutions for the railway industry at InnoTrans. With a broad portfolio of reliable power components and application-focused engineering expertise, Acal BFi supports rail manufacturers and system integrators in developing efficient and robust solutions.",1000422
Acapela Group,Belgium,MONS,7012,Hall 4.1,230,Public Transport,"VOICE AI IS READY TO GUIDE YOUR PASSENGERS
Acapela text-to-speech converts any written information into speech, delivering relevant audio passenger information in real -time. Station names are pronounced accurately in any language, thanks to the lexicon editor and Acapela's additional services",1000427
Acarlar Vagon San. ve Tic. A.S.,Türkiye,Dinar / Afyonkarahisar,0,Hall 6.2,320,Railway Technology,"As Acarlar Vagon Company we established in 2011, we started our service to make revisions of freight wagons. In 2014, we were the first private company to receive 4 function ECM certification. We continues to serve with 30,000 m2 open, 10,000 m2 closed area and 3 km connection line.",1000428
ACC M,France,CLERMONT-FERRAND,63100,Hall 11.2,270,Railway Technology,"From overhaul to full renovation. ACC M keeps passenger fleets running longer, safer, and better. We intervene on regional trains, intercity coaches, tramways, metros, and heritage & tourist railways. French industrial expertise, European reach.",1000431
Accenture,Germany,Kronberg,61476,"CityCube, Hall A",810,Railway Technology,"Accenture is a leading global professional services company that helps the world's top companies, governments and other organizations build their digital core, optimize operations, accelerate revenue growth and improve client services - all while delivering tangible benefits at speed and scale.",1000438
Aceros Moldeados de Lacunza SA,Spain,Arbizu,31839,Hall 20,360,Railway Technology,"AML(Spain) and ATPL(India) specialize in tailored high-value steel castings for rail and industrial applications. We supply components from 3 to 4,500 kg, including ready-to-assemble solutions, with engineering support, full traceability and certified quality ISO 3834-2, ISO 15085 and DB standards.",1224286
Achat Infrastruktur GmbH,Germany,Hoppegarten,15366,"CityCube, Hall B",220,Railway Infrastructure,"We offer a wide range of energy services, as part of which we carry out construction, renovation and modernisation",1000481
ACKSYS,France,Élancourt,78990,Hall 4.1,480,Public Transport,"ACKSYS is a manufacturer of WiFi and cellular routers specifically designed for railway applications. ISO 9001 certified and EN 18031 compliant, ACKSYS guarantees strict quality, security, and reliability standards across its products and operations.",1000493
ACLA-WERKE GmbH,Germany,Köln,51065,Hall 8.1,205,Railway Technology,,1224534
ACOME Group,France,PARIS,75014,Hall 22,276,Railway Infrastructure,"ACOME Group designs and manufactures optic and copper high-performance cables for trackside applications and control centers (ZPAU, K23, K25, ZC03, etc.)  as well as hardened solutions - including connectors, distribution boxes - built to secure network availability.",1000502
ACRI - Association of Czech Railway Industry,Czechia,Praha 1,110 00,Hall 9,315,Railway Technology,"ACRI - Association of Czech Railway Industry gathers 53 Czech companies, significant producers and suppliers of products and services for railway transport. It represents engineering, design, manufacture, maintenance. ACRI acts as Centre of Technical Standardization acting in the railway sector.",1000518
actain engineering GmbH,Germany,Erfurt,99091,Hall 7.2c,230,Railway Technology,,1226763
ACTIA,France,Toulouse,31400,Hall 4.1,310,Public Transport; World Innovations,"ACTIA delivers intelligent onboard railway systems combining engineering, EMS manufacturing and lifecycle services to improve safety, connectivity and operational efficiency. Meet our experts at InnoTrans and discover our global railway expertise.",1224227
ACUSTRAIN SL,Spain,Zamudio,48170,Hall 21,312,Railway Infrastructure,,1219528
ACYGS SALES MANAGEMENT S.L,Spain,ALCORCON,28925,Hall 23,560,Railway Technology,"ACYGS Sales Management offers engineering services to define and manage railway workshop projects, analyzing the clients’ needs and proposing the best solutions for the maintenance workshop equipment. We promote improvements and provide optimized solutions that have a direct impact on our customers.",1000553
Adam El Tenso,Romania,Ungheni,547605,Hall 6.2,925,Railway Technology,"Manufacturing and maintanance of rail-embedded load transducers, tensometry devices and locomotive balancing software. Offers construction and maintanance services for industrial rail scales, bogie test stands & spring compression stands.",1220483
Adamantes Engineering Kft.,Hungary,Rétság,2651,Hall 9,686,Interiors,,1227236
Adaptive Balancing Power GmbH,Germany,Pfungstadt,64319,Hall 15.1,230,Railway Infrastructure,Imagine putting more trains on the track without massive changing your infrastructure !,1222706
ADAPTIVE RECOGNITION,Hungary,Budapest,1123,Hall 11.2,200,Railway Technology,,1226934
adaptronic Prüftechnik GmbH,Germany,Wertheim,97877,Hall 12,270,Railway Technology,"adaptronic Prüftechnik GmbH is a leading manufacturer of wiring and functional test systems. For more than 30 years, we stand for customized high-quality test systems and adaptation solutions and their associated services in the HV and LV area as well as for high-current test applications.",1000583
ADComms,United Kingdom,Scunthorpe,DN15 9YH,Hall 6.1,570,Railway Technology,"Discover how ADComms is transforming rail through integrated telecoms and technology solutions, with Monica Hub – a powerful platform delivering real-time insights, smarter operations and improved network performance across modern rail environments.",1220445
ADES Technologies,France,Saint-CHAMOND,42400,Hall 3.2,210,Railway Technology,"ADES Technologies designs and manufactures fluid connection and control solutions for demanding railway applications, including valves, fittings, pneumatic panels and custom sub-assemblies.",1211480
Adhetec,France,TARBES,65000,Hall 1.1,880,Interiors,"ADHETEC:
   - Consumables
   - Technical markings
   - Self adhesive flooring
   - Interior decofoils",1000609
ADJ Engineering Private Limited,India,Noida,201301,Hall 23,365,Railway Technology,,1227235
ADLINK Technology GmbH,Germany,Mannheim,68163,Hall 4.1,672,Railway Technology; World Innovations,"ADLINK Technology Inc. (TAIEX: 6166) is a global leader in embedded and edge computing, accelerating edge AI empowerment—driving intelligence at the edge. ADLINK designs and manufactures edge hardware and software for embedded, distributed, and intelligent computing.",1000625
Adolf Würth GmbH & Co. KG,Germany,Künzelsau-Gaisbach,74653,Hall 8.2,360,Railway Infrastructure,"The Würth Group is leading in the development, production, and sale of assembly and fastening materials. The globally operating family business, headquartered in Künzelsau, Germany, includes over 400 companies with more than 2,800 shops in 80 countries.",1000639
ADSE Consulting and Engineering,Netherlands,Hoofddorp,2132 HZ,Hall 11.2,120,Railway Technology,"ADSE is a privately held engineering consultancy firm based in the Netherlands, passionate about transportation systems and mobility solutions. We are experts on Rolling Stock, Design & Integration, Safety & Certification and Systems Engineering. We turn your project into reality. Come and meet us!",1210114
ADVANTAGE AUSTIA,Austria,Wien,1040,Hall 21; Hall 8.2,230; 350,Railway Infrastructure,"ADVANTAGE AUSTRIA, with its more than 110 offices in over 70 countries, provides a broad range of intelligence and business development services for both Austrian companies and their international business partners. Our 800 employees and 35 consultants around the world can assist you in locating ...",1000673
Advantech Europe B.V.,Netherlands,Eindhoven,5692,Hall 4.1,370,Public Transport,"Advantech, founded in 1983, is a leader in IoT systems and embedded platforms. Utilizing AI, 5G, IoT, and cloud platforms, Advantech transforms public transportation with certified solutions for rolling stock and wayside applications, enhancing safety, efficiency, and passenger experiences.",1000676
Aero-X AG,Switzerland,Wuerenlos,5436,Hall 5.2,630,Railway Technology,"Aero-X AG is specialized in fire protection solutions for special hazard applications like mobile- and stationary technical infrastructure, vehicles and equipment. Designed in Switzerland, Aero-X fire suppression solutions protect people, equipment and assets all over the world.",1000787
AESYS S.p.A,Italy,Brusaporto,24060,Hall 2.1,635,Railway Technology,"We’ve come a long way, proving since 1977 the company’s leadership by setting the standards in the design and assembly of customized display solutions with the latest LED and TFT technology. Aesys prides itself for keeping all of the production stages at its headquarter in Bergamo, Italy.",1000798
AFIMES,France,verrière le buisson,91370,Hall 3.2,210,Railway Infrastructure,"AFIMES designs and supplies technical safety and security solutions for sensitive environments and critical infrastructure. Drawing on its expertise in physical protection, compartmentalization, secure cable routing, and security equipment, the company meets the requirements",1227013
African Rail Industry Association NPC,South Africa,Johannesburg,2001,Hall 10.1,100,Railway Infrastructure,,1000852
AGC Glass Europe SA,Belgium,Ottignies / Louvain-La-Neuve,1348,Hall 1.1,660,Interiors,"Look beyond the glass. At AGC Glass Europe, we're engineering more than just windows; we're shaping the future of the passenger experience. Discover how our advanced glazing solutions for trains are driving sustainable mobility through enhanced safety, comfort, and connectivity.",1000906
"AGG, Anlagen- und Gerätebau GmbH",Germany,Potsdam,14478,Hall 23,600,Railway Technology,System solutions - this word defines our claim. We deliver not only individual products but also analyse your measurement tasks and provide you with customised products from the stand-alone solution to complex system solutions. Benefit from our experience and that of our partners in the developme...,1000954
"AGICO International Holdings Co., Ltd.",China,Anyang,455000,Hall 9,282,Railway Infrastructure,"Leading firm in non-rail traction: R&D, mfg, sales, service. 60% China share, export 20+ countries. Products: electric, hydrogen, methanol, dual-power, diesel, retrofits, remote control, auto-charging, remote O&M. Mission: tech to productivity, cost-cut, green growth.",1225840
AGRO AG,Switzerland,Hunzenschwil,5502,Hall 12,370,Railway Technology,"The Swiss company AGRO AG has been developing and manufacturing high-quality cable entry and cable installation solutions since 1953. With its numerous innovations and patents, it is a pioneer in the field of cable glands.",1001103
Agôn electronics (Agôn Railway),France,Labège,31670,Hall 27,752,Railway Technology,"As part of AGÔN Electronics, we unite LEROY Automation, Mios Elettronica, and SC3 Automation. Together, we deliver smart, cyber-secure TCMS, connectivity, and custom automation for global rolling stock and critical rail infrastructure",1215673
AIF - Association des Industries Ferroviaires,France,FAMARS,59300,Hall 3.2,100,Railway Technology,"Founded in 1995, the Association of Railway Industries (AIF) celebrated its 30th anniversary in 2025.
For more than three decades, the AIF has supported, promoted, and united companies in the railway sector, helping them grow and strengthening the competitiveness of the industry",1161579
Air Purification Skroll Ltd,United Kingdom,Gateshead,NE95JG,Hall 18,180,Railway Technology,Air Purification Skroll Ltd (APSL) are revolutionizing the future of compressed air-drying technology with unique solutions to provide unparalleled results in arduous conditions.,1001331
Air Rail SL,Spain,Madrid,28023,Hall 6.2,355,Railway Infrastructure,"Air Rail is a company specialized in the manufacture of rail depot equipment. 
Our specialization is the train washing equipment, but we also supply bogie washing cabins, automatic (robotic) blowing systems and CET systems.",1001333
AirDIV Group,Czechia,Hlinsko,53901,Hall 3.1,600,Interiors,"Lightweight textile air ducts for railway & bus – better airflow, faster installation, less weight.",1001355
Airquick Newark LTD,United Kingdom,Newark,NG24 2AG,Hall 2.2,460,Railway Infrastructure,"Airquick is a specialist engineering company focused on the design, manufacture, installation, and maintenance of rail depot service equipment and compressed air systems.",1001381
AIRTEC INTERNATIONAL LTD,United Kingdom,GLASGOW,G4 0DL,Hall 25,185,Railway Infrastructure,"Mission Statement
Provide the Railway Industry with the best Petrol/Gas Driven Impact Wrench, Tool Carrier and Accessories available in the World

Company Profile
The NEW Master 35® Impact Wrench now powered by a New Generation low emission Engine complying with EUR5 & EPA3 Standards.",1001385
AIT Austrian Institute Of Technology GmbH,Austria,Wien,1210,"CityCube, Hall A",750,Railway Technology,"AIT Austrian Institute of Technology
The AIT Austrian Institute of Technology is Austria’s largest non-university research institute. With its seven Centers, AIT regards itself as a highly specialised research and development partner for industry.",1001398
AIXrail GmbH,Germany,Aachen,52070,"CityCube, Hall B",100,Railway Technology,,1209549
AKG Software Consulting GmbH,Germany,Heitersheim,79423,Hall 5.2,660,Railway Infrastructure,"AKG Software Consulting GmbH provides powerful software solutions for infrastructure planning, documentation, and asset management. Its digital applications support operators and engineers in efficiently managing technical assets, improving data quality, and optimizing operational processes.",1001450
AKG Thermotechnik International GmbH & Co. KG,Germany,Hofgeismar,34369,Hall 18,350,Railway Infrastructure,"AKG Group – Technological Leader with strong technical innovation

AKG is a global supplier of high-performance coolers, heat exchangers and customised system solutions. With around 3,000 employees and 11 production sites across Europe, the Americas and Asia, AKG stands for innovation and quality.",1001452
Akiem Holding SAS,France,Saint-Ouen-sur-Seine Cedex,93452,"CityCube, Hall A",445,Railway Technology,"A leading European provider of services to rail operators, manufacturers, and local authorities, Akiem offers its over 100customers in 22 European countries a fleet of 770 locomotives and 42 passenger vehicles as well as solutions covering the entire rolling stock value chain. Akiem is ECM certified",1001454
Akkodis,Switzerland,Zürich,8008,Hall 6.1,465,Railway Technology,"Akkodis is a global digital engineering consulting company combining technology and talent to accelerate transformation, drive innovation, and shape an intelligent, more sustainable future.",1209764
AKS DASIS Dommermuth GmbH & Co. KG,Germany,Mülheim-Kärlich,56218,Hall 18,430,Railway Technology,"Dasis Industry stands for quality and reliability and is your partner for industrial cooling.
Our radiators convince since over 45 years by solid constructions, high resistance to mechanical influences and external circumstances, maximum corrosion prevention and a very high resistance to heat an...",1001467
Aktobe Rail and Section Works LLP,Kazakhstan,Aktobe,030000,Hall 26,227,Railway Infrastructure,"ARBZ LLP is a unique enterprise for the production of differentially heat-strengthened rails of high quality and medium shaped rolled products in Kazakhstan. Our Products and Services: Rails of type R65,60Е1,60Е2, Equal-leg angle, Channel, Flange beam, SVP, Laboratory and Metrology services.",1001490
AKW A+V Protec Rail GmbH,Germany,Hirschau,92242,Hall 1.1,630,Interiors,"""Sanitary Waste Water Treatment For Rail Cars""The Protec Bioreactor transforms sanitary waste water into purified water.Biological and particularly efficient:An on-board toilet with a Protec Bioreactor will work for up to six months non-stop. Rail operators across the globe are benefitting...",1001493
ALBAYRAK MAKINE ELEKTRONIK SANAYI VE TICARET ANONIM SIRKETI,Türkiye,Eskisehir,26110,Hall 5.1,255,Interiors,"ALBAYRAK Makine Elektronik Inc. is focused on design, engineering, safety calculations, manufacturing and maintenance of products relevant to railway systems. 

Mostly giving services above for high safe Platform Screen Door Systems, Train Door Drive and Control Systems and Railway Signal Lamps.",1001633
"ALC ""Striy Avto""",Ukraine,Stryi,82400,Hall 4.2,410,Railway Infrastructure,"STRIY AVTO is a Ukrainian manufacturer of transport and engineering solutions with over 30 years of experience. The company specializes in the design and production of inter-car gangways, vehicle bodies, passenger seating systems, metal structures, and electric mobility solutions. Combining in-hous",1226849
"Alfa Union, a.s.",Czechia,Prague,143 00,Hall 9,250,Railway Technology,"Alfa Union is the manufacturing joint-stock company with her own development, sales and service department. Dynamically progress of the company since her foundation in 1997 is a result of an integration of the tradition, experiences, creativity and high professionalism. The main product range are...",1001723
Alfred PRACHT Lichttechnik GmbH,Germany,Dautphetal-Buchenau,35232,Hall 5.2,810,Public Transport,"PRACHT is one of the leading international manufacturers of luminaires with a high protection rating for specialised applications.  As a specialist in the damp and industrial sectors, the company focuses on luminaires that can withstand extreme conditions, including high temperatures and chemical ga",1001733
Aliant Battery,Italy,Imola,40026,Hall 15.1,455,Railway Technology,"Aliant Battery is the technology partner for advanced electrification of vehicles and industrial machinery, specializing in the design and production of fully customized lithium iron phosphate (LFP) batteries.",1218423
ALISA - Night Train Concept,Germany,Kirchentellinsfurt,72138,Outdoor Display,O/10,Public Transport; World Innovations,"ALISA is reimagining the future of European night travel. The modular and lightweight sleeper train concept combines flexible interiors, higher passenger capacity, and efficient operation for both day and night services, making overnight rail travel more sustainable and economically viable.",1227538
ALIX SmarTrack / GEXIA,France,TOULOUSE,31670,Hall 7.1a,550,Railway Technology; AI Mobility Lab,"Railway maintenance, simplified. ALIX SmartTrack delivers field-first, smartphone-driven measurement tools built for the modern operator. One person. One pass. Precise, real-time data with zero complexity. Ready to use out of the box and only what the field needs.",1223160
ALL COMMUNICATIONS NV,Belgium,Mullem-Oudenaarde,9700,Hall 7.1b,225,Railway Technology,WE BRING 4G & 5G INSIDE YOUR RAILWAY WAGONS,1210591
Allovis S.r.l.,Italy,Torino,10135,Hall 10.1,270,Interiors,"Founded in 2010, ALLOVIS is an R&D company specializing in numerical modeling, software development and mechanical design, supported by advanced experimental and prototyping capabilities. The company focuses on fluid-dynamic systems, with expertise in vehicle climate control for the rail sector.",1227157
ALMAR S.A.S.,France,Lyon,69005,Hall 26,155,Railway Infrastructure,ALMAR – Reliable Insulated Rail Joint Solutions for Railway Infrastructure Worldwide. ALMAR develops and manufactures high-quality insulated rail joints for the global railway industry. As a joint venture combining Austrian and French expertise.,1001855
ALMAVIVA,Italy,ROME,00137,Hall 4.1,720,Railway Technology,,1001858
ALMEX GmbH,Germany,Hannover,30539,Hall 2.1,200,Public Transport,"Almex GmbH is a leading solution and service partner for systems for recording, validating and processing data. 
We offer a comprehensive portfolio of solutions for your ticketing requirements. Stationary and mobile ticketing systems with the latest technology and innovative “extras” ...",1001866
Alpha Innovations,Belgium,Louvain-la-Neuve,1348,Hall 22,420,Railway Technology,"Powering rail reliability since decades. Alpha Innovations designs custom power systems & supervision software for safety-critical railway infrastructure. SIL4 certified products. Belgian engineering, global reach.",1001902
Alpha Trains Europa GmbH,Germany,Köln,50674,"CityCube, Hall A",505,Career Point; Railway Technology,"Alpha Trains is the leading rolling stock lessor in Europe. A total of 130 employees from 17 countries work in offices in Luxembourg, Antwerp, Cologne, Madrid, Paris and Warsaw. Alpha Trains owns more than 1,000 locomotives and passenger trains and offers tailor-made leasing solutions.",1001905
ALPHITAN GROUP,France,Bruges,33520,Hall 3.2,130,Railway Technology,"European specialist in the overhaul of traction motors, and repair of embedded electronic systems.",1211676
ALSTOM,France,Saint-Ouen-sur-Seine,93400,Hall 3.2; Outdoor Display,450; T2/20; T4/36; T5/40,Railway Technology; Outdoor Display; World Innovations; AI; Career Point; Public Transport,"Alstom is committed to making rail the backbone of sustainable transport. We design and deliver a complete range of future-ready solutions, from high-speed and regional trains to metros, monorails, trams, turnkey systems, end-to-end services, infrastructure, signalling and digital rail solutions.",1208793
Altametris,France,Saint-Denis,93200,Hall 7.1a,246,AI Mobility Lab; Railway Technology,"ALTAMETRIS, spin-off of SNCF Reseau is the French expert in generating geotechnical data for industrial infrastructure operators with an accute focus on operation & maintenance. Altametris offers Consulting and Support Services, a turnkey Solutions catalogue, and an Online Software Suite.",1001962
ALTEC Aluminium-Technik GmbH,Germany,Mayen,56727,Hall 6.2,890,Railway Technology,"With our innovative scaffolding solutions, bridges and dock systems -Made in Germany- we rely on a recyclable material and offer real added value for a safe and comfortable everyday work.",1001978
Althen Sensors & Controls B.V.,Netherlands,Rijswijk,2288 EL,Hall 23,960,Railway Technology,"Althen Sensors & Controls delivers reliable sensor and measurement solutions for the railway industry. From rolling stock and infrastructure to testing, monitoring and predictive maintenance, we help improve safety, performance and uptime.",1220435
ALTHEORA,France,MAUVES,60940,Hall 3.2,210,Railway Infrastructure,"ALTHEORA, industrial equipment manufacturer, leader in the design and manufacture of complex parts and subassemblies of new generation composite materials and polymers.",1001996
Alto,Canada,Montréal,,Hall 7.2c,130,Public Transport,Alto is the Toronto–Québec City high-speed rail network and one of the largest infrastructure projects in Canada in the past half-century.,1226289
ALTPRO,Croatia,Zagreb,10020,Hall 27; Outdoor Display,660; T10/45,Outdoor Display; Railway Technology; World Innovations,ALTPRO is a specialized company focused on the development and production of signalling systems for railway infrastructure and rolling stock.,1002013
Altraix International,France,CABRIES,13480,Hall 25,615,Railway Infrastructure,"With several innovation, ALTRAIX International will be pleased to welcome you on our booth. You will discover the latest USP technology, as well as a brand new solution for Rail pad application.
ALTRAIX International is your preferred partner for resilient solutions on tracks.",1002014
Amberg Technologies AG,Switzerland,Regensdorf,8105,Hall 25,455,Railway Infrastructure,"Headquartered in Switzerland, Amberg Technologies develops digital solutions for railway construction, measurement, inspection and maintenance.",1002127
AMBIENT SYSTEM,Poland,Gdańsk,80-298,Hall 4.1,412,Public Transport; World Innovations,"Ambient System is a leading European manufacturer and provider of advanced Public Address (PA) and Voice Evacuation Systems (VES), delivering reliable safety solutions to clients worldwide.",1002131
AMCO S.A.,Greece,Athens,PO 183 46,Hall 6.1,365,Public Transport,"AMCO S.A. was established in 2003 and since then, has evolved to a market leader for ITS solutions in smart mobility.
The company has successfully implemented hundreds of projects for private and public sector enterprises in more than 10 countries, as it has the expertise and the know-how to design…",1002144
AMCO S.A.S.,France,SAINT-OUEN L'AUMÔNE,95310,Hall 3.2,130,Interiors,"AMCO designs rubber & silicone sealing solutions, mastering extrusion, molding and cutting.",1002143
AMCON Software GmbH,Germany,Cloppenburg,49661,Hall 2.1,630,Public Transport,"As a national supplier of ticketing systems, automatic fare management (AFC) systems and real-time passenger information (ITCS) systems for buses and trains, AMCON is assisting transportation companies in making public transport more attractive and more efficient.",1002146
AmePower,United States of America,Miami,33178,Hall 9,430,Railway Technology; World Innovations,"AmePower brings innovative and patented next generation propulsion inverter solutions for Light Rail/Trams, Heavy Rail and Locomotives, with industry-leading efficiency and reliability.",1002152
Amest s.r.o.,Czechia,Jesenice u Prahy,73642,Hall 20,640,Railway Technology,"MEASURING STATIONS
Amest monitoring and measuring stations secure complex interstage and final inspections of components, assemblies, and final products. They check the dimensions; shapes; required weight; quality of finish; and monitor the quality requirements of the material used.",1002179
"AMI(Tianjin) New Materials Technology Co.,Ltd",China,Tianjin,300457,Hall 8.2,400,Railway Technology,"Established in 2014, we specialize in supplying UIC, AREMA, GOST, and GB standard railway rails, including light rails, heavy rails, and crane rails. Our products are widely used in railway, mining, and industrial projects worldwide. With stable quality, reliable supply, and professional export serv",1224129
